Core-index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning
1714,JLPT2,自習,じしゅう,"self-study, self-teaching",Verbal Noun,明日は自習の時間がある。,あす は じしゅう の じかん が ある,I have study time tomorrow.
1715,JLPT2,突き当たり,つきあたり,end of a street,Noun,この先は突き当たりです。,この さき は つきあたり です,There's a T-intersection ahead.
1716,JLPT2,どきどき,どきどき,"feel excited, feel nervous",Adverb,彼女に会うとどきどきします。,かのじょ に あう と どきどき します,I feel nervous when I meet her.
1717,JLPT3,無くす,なくす,"lose, get rid of",Verb,今日、鍵を無くしました。,きょう かぎ を なくしました,I lost my key today.
1718,JLPT0,納豆,なっとう,natto (fermented soybeans),Noun,私は納豆をよく食べます。,わたし は なっとう を よく たべます,I often eat natto.
1719,JLPT4,二十歳,はたち,20 years old,Noun,妹は来年、二十歳になります。,いもうと は らいねん はたち に なります,My little sister will be 20 next year.
1720,JLPT4,東,ひがし,"east, eastern",Noun,東の空が暗いです。,ひがし の そら が くらい です,The eastern sky is dark.
1721,JLPT2,まあまあ,まあまあ,"OK, not bad, average",Adjective,彼の成績はまあまあです。,かれ の せいせき は まあまあ です,His results are so-so.
1722,JLPT2,マフラー,マフラー,"scarf, muffler",Noun,彼女は首にマフラーをまいていた。,かのじょ は くび に まふらー を まいて いた,She was wearing a scarf around her neck.
1723,JLPT0,桃,もも,"peach, peach tree",Noun,私の一番好きな果物は桃です。,わたし の いちばん すき な くだもの は もも です,My favorite fruit is peaches.
1724,JLPT2,アクセサリー,アクセサリー,"accessories, jewelry",Noun,このアクセサリーは素敵ね。,この あくせさりー は すてき ね,This jewelry is lovely.
1725,JLPT2,あくび,あくび,yawn,Verbal Noun,父があくびをした。,ちち が あくび を した,My father yawned.
1726,JLPT2,飴,あめ,"candy, sweets",Noun,缶に飴が入っています。,かん に あめ が はいって います,There's some candy in the can.
1727,JLPT2,売り切れ,うりきれ,"sellout, sold out",Noun,チケットはもう売り切れだって。,ちけっと は もう うりきれ だって,The tickets have sold out already.
1728,JLPT0,お巡りさん,おまわりさん,policeman,Noun,あのお巡りさんに道を聞きましょう。,あの おまわりさん に みち を ききましょう,Let's ask that policeman how to get there.
1729,JLPT0,からから,からから,"thirsty, dry",Adjective,おしゃべりして喉がからからになりました。,おしゃべり して のど が からから に なりました,My throat got dry from chatting.
1730,JLPT2,黄色,きいろ,yellow,Noun,信号は黄色でした。,しんごう は きいろ でした,The traffic light was yellow.
1731,JLPT2,誘う,さそう,"invite, ask out",Verb,彼女をデートに誘った。,かのじょ を でーと に さそった,I asked her out on a date.
1732,JLPT2,速達,そくたつ,"special delivery, express mail",Noun,これを速達で送りたいのですが。,これ を そくたつ で おくりたい の です が,I want to send this by express delivery.
1733,JLPT4,歯,は,"tooth, cog",Noun,私の歯は丈夫です。,わたし の は は じょうぶ です,My teeth are strong.
1734,JLPT0,引き算,ひきざん,subtraction,Verbal Noun,娘は学校で引き算を習っている。,むすめ は がっこう で ひきざん を ならって いる,My daughter's learning subtraction at school.
1735,JLPT0,昼前,ひるまえ,"in the morning, before noon",Noun,昼前に会議があった。,ひるまえ に かいぎ が あった,There was a meeting in the morning.
1736,JLPT1,ふらふら,ふらふら,weak,Adverb,私は疲れてふらふらです。,わたし は つかれて ふらふら です,I'm tired and feel dizzy.
1737,JLPT0,目覚まし時計,めざましどけい,alarm clock,Noun,7時に目覚まし時計が鳴りました。,しちじ に めざましどけい が なりました,The alarm clock went off at seven o'clock.
1738,JLPT3,予習,よしゅう,"preparation, previewing (a lesson)",Verbal Noun,明日の予習をしましょう。,あした の よしゅう を しましょう,Let's prepare for tomorrow.
1739,JLPT2,こぼす,こぼす,spill,Verb,ソファにワインをこぼした。,そふぁ に わいん を こぼした,I spilt wine on the sofa.
1740,JLPT2,ランチ,ランチ,lunch,Noun,一緒にランチに行きませんか。,いっしょ に らんち に いきません か,Do you want to go to lunch together?
1741,JLPT0,レシート,レシート,receipt,Noun,レシートを財布に入れました。,れしーと を さいふ に いれました,I put the receipt in my wallet.
1742,JLPT0,持って来る,もってくる,bring,Verb,そのいすを持って来てください。,その いす を もって きて ください,Please bring that chair.
